"idauniq","W4_Drink","W5_Drink","W6_Drink","W7_Drink","W8_Drink","Sex"
105363,-99,-99,1,1,-99,1
105368,2,2,2,2,2,2
105370,3,3,3,3,3,2
105373,-99,3,2,3,2,2
105374,3,-99,2,2,2,2
105375,-99,-99,2,3,-99,2
105381,2,2,2,2,2,1
105382,3,3,2,2,2,1
105383,1,2,1,1,1,2
105386,2,2,2,2,2,2
105391,1,2,2,2,1,2
105392,2,2,-99,2,2,2
105401,-99,-99,-99,-99,-99,2
105405,1,-99,-99,-99,-99,2
105414,3,4,3,4,3,2
105416,1,2,1,1,-99,1
105420,2,1,1,-99,1,1
105426,2,1,1,2,1,1
105427,-99,-99,-99,-99,-99,1
105432,3,2,2,-99,-99,1
105434,2,3,3,2,2,2
105438,2,2,2,2,1,2
105440,2,2,2,2,2,1
105444,2,3,2,2,2,2
105445,-99,3,4,4,4,1
105449,-99,-99,-99,-99,-99,2
105450,1,1,1,1,2,2
105465,2,2,2,2,2,2
105466,3,2,3,3,3,2
105469,-99,-99,-99,-99,-99,2
105470,2,2,3,3,2,1
105473,3,3,3,3,3,1
105475,2,2,2,2,2,2
105479,2,1,2,2,2,2
105483,2,2,2,2,2,2
105486,-99,2,2,2,2,2
105492,2,2,2,2,1,2
105498,3,3,3,3,3,2
105509,-99,2,1,1,2,2
105510,3,1,1,3,3,1
105511,-99,-99,-99,-99,-99,2
105515,2,2,1,2,1,2
105517,3,2,2,2,2,2
105519,-99,-99,-99,-99,-99,2
105521,4,4,3,3,-99,1
105526,1,1,-99,2,-99,1
105528,-99,-99,-99,-99,-99,2
105529,3,2,3,2,3,1
105546,2,2,2,2,2,2
105548,1,-99,1,1,1,1
105550,-99,-99,-99,-99,-99,1
105552,2,2,2,2,2,2
105556,-99,-99,1,-99,-99,2
105557,-99,-99,-99,-99,-99,2
105562,-99,1,2,-99,-99,1
105569,3,2,3,-99,2,1
105570,-99,-99,-99,-99,-99,1
105571,2,2,-99,2,1,2
105579,2,2,2,-99,-99,2
105582,-99,3,3,3,3,2
105588,2,2,2,2,2,2
105591,-99,3,4,4,4,1
105592,1,2,2,2,2,2
105594,1,3,1,-99,1,1
105595,1,1,1,1,1,1
105596,2,1,1,1,2,2
105602,3,3,3,3,3,1
105607,3,3,3,3,2,1
105612,2,2,2,2,2,1
105624,2,2,1,-99,1,2
105627,3,4,4,4,4,1
105629,1,-99,-99,-99,-99,1
105653,4,3,-99,4,3,2
105659,2,-99,1,1,-99,2
105665,-99,-99,-99,-99,-99,2
105669,1,1,-99,1,-99,2
105671,3,3,-99,-99,-99,2
105673,2,2,-99,1,-99,1
105685,-99,3,2,3,2,1
105692,2,1,2,2,2,2
105696,2,2,2,2,2,2
105698,3,3,3,3,3,1
105717,2,2,2,1,2,1
105723,3,4,3,3,3,1
105728,2,2,2,2,2,2
105730,2,2,2,1,1,2
105733,4,2,-99,-99,4,1
105737,-99,1,-99,-99,-99,2
105740,2,2,2,2,2,2
105742,2,2,2,2,2,1
105745,2,2,2,2,1,1
105750,2,2,2,1,2,1
105751,3,3,3,3,-99,2
105755,2,2,2,3,2,2
105758,2,1,2,2,1,2
105761,2,2,2,2,2,2
105763,3,3,3,3,3,1
105765,-99,-99,-99,-99,-99,2
105767,3,-99,3,3,3,1
105768,2,2,3,2,2,2
105770,2,2,2,-99,2,1
105776,3,2,2,2,-99,1
105783,-99,-99,-99,-99,-99,2
105785,3,3,3,2,2,1
105788,3,3,2,3,3,2
105795,1,1,1,1,1,2
105798,1,1,1,1,-99,2
105801,2,2,2,2,2,2
105802,-99,1,1,-99,-99,2
105810,2,2,1,1,1,1
105812,3,3,3,1,2,1
105814,-99,-99,-99,-99,-99,2
105822,3,3,3,3,3,1
105823,3,3,3,4,4,2
105826,3,3,3,4,3,2
105829,2,2,-99,3,3,2
105831,2,2,2,2,2,2
105840,2,2,2,2,2,1
105853,1,1,1,1,1,2
105856,3,3,3,3,2,1
105857,3,3,3,3,3,2
105860,2,1,2,-99,1,1
105861,2,2,2,2,2,2
105863,2,3,3,3,3,2
105866,2,2,2,2,2,2
105867,4,3,4,4,3,2
105875,-99,2,1,1,-99,2
105883,2,2,2,3,2,2
105887,-99,-99,-99,-99,-99,2
105891,1,1,1,2,2,2
105894,-99,1,1,-99,-99,2
105895,3,-99,-99,-99,-99,1
105896,3,3,3,3,2,1
105900,1,-99,-99,-99,-99,1
105905,2,2,2,2,2,2
105911,-99,3,-99,3,3,2
105912,1,2,2,2,2,2
105913,4,4,4,4,-99,1
105916,2,1,1,-99,1,2
105920,2,2,-99,2,2,2
105921,-99,2,2,2,1,1
