"idauniq","Paternal_Occ_Intermediate","Paternal_Occ_High","Self_Occ_Intermediate","Self_Occ_High","Education_Intermediate","Education_Degree","Wealth_Second_Tertile","Wealth_Third_Tertile","Age","Sex"
105416,-99,-99,0,0,1,0,1,0,65,1
105420,0,1,1,0,1,0,1,0,76,1
105426,0,1,0,1,1,0,0,0,65,1
105427,0,1,0,0,0,0,0,0,63,1
105432,0,1,0,0,1,0,1,0,85,1
105434,0,1,1,0,1,0,0,1,70,2
105438,0,1,1,0,1,0,1,0,54,2
105440,1,0,0,1,0,1,0,1,55,1
105444,0,0,0,1,0,1,0,1,64,2
105445,0,1,0,0,1,0,1,0,61,1
105449,0,0,0,0,0,0,0,1,64,2
105450,1,0,0,0,0,0,0,0,58,2
105465,0,1,0,1,1,0,0,1,57,2
105466,-99,-99,0,1,1,0,1,0,55,2
105469,-99,-99,-99,-99,0,0,0,0,59,2
105470,0,1,1,0,1,0,0,1,69,1
105473,0,0,0,0,0,0,0,0,60,1
105475,0,1,0,1,0,1,0,1,74,2
105479,0,1,1,0,0,0,0,1,63,2
105483,-99,-99,1,0,1,0,0,1,59,2
105486,1,0,0,1,1,0,1,0,80,2
105492,0,1,1,0,1,0,0,1,70,2
105498,1,0,0,1,1,0,0,0,64,2
105509,0,1,0,0,0,0,1,0,63,2
105510,0,1,0,1,1,0,0,1,82,1
105511,1,0,0,0,0,0,0,0,75,2
105515,1,0,1,0,0,0,1,0,61,2
105517,0,1,0,0,1,0,0,1,67,2
105519,0,1,0,0,1,0,0,0,55,2
105521,0,1,0,1,0,1,-99,-99,60,1
105526,1,0,1,0,1,0,1,0,65,1
105528,1,0,0,0,1,0,1,0,66,2
105529,0,0,0,0,1,0,1,0,59,1
105546,0,1,0,1,0,0,0,1,77,2
105548,0,0,0,1,1,0,1,0,76,1
105550,1,0,0,0,0,0,1,0,73,1
105552,0,1,1,0,1,0,0,1,69,2
105556,0,1,-99,-99,1,0,0,0,61,2
105557,0,1,-99,-99,0,0,1,0,60,2
105562,1,0,0,0,0,0,0,0,74,1
105569,0,1,0,1,0,1,0,1,68,1
105570,-99,-99,0,0,1,0,0,1,59,1
105571,-99,-99,1,0,0,0,0,0,66,2
105579,0,1,0,1,0,1,0,1,63,2
105582,0,1,1,0,1,0,0,1,57,2
105588,0,1,0,1,0,1,0,1,48,2
105591,0,1,0,0,1,0,0,0,61,1
105592,1,0,1,0,1,0,0,1,54,2
105594,0,0,0,0,0,0,0,0,59,1
105595,0,0,0,0,1,0,1,0,65,1
105596,-99,-99,1,0,1,0,1,0,73,2
105602,0,1,0,1,1,0,1,0,53,1
105607,0,0,1,0,1,0,0,1,70,1
105612,0,1,0,1,0,1,0,1,65,1
105624,-99,-99,0,1,1,0,1,0,74,2
105627,1,0,0,1,0,1,1,0,56,1
105629,1,0,0,1,1,0,0,1,58,1
105653,0,1,1,0,1,0,0,1,61,2
105659,-99,-99,0,0,1,0,0,0,71,2
105665,0,0,0,0,0,0,0,0,68,2
105669,1,0,0,0,1,0,1,0,64,2
105671,1,0,0,0,1,0,0,1,65,2
105673,0,1,0,0,1,0,0,0,63,1
105685,0,0,0,0,0,0,1,0,60,1
105692,1,0,0,0,1,0,0,1,58,2
105696,0,1,0,0,0,0,0,1,63,2
105698,0,1,0,0,1,0,-99,-99,62,1
105717,0,0,1,0,1,0,0,1,69,1
105723,1,0,0,1,1,0,0,1,58,1
105728,0,1,0,0,1,0,0,0,45,2
105730,1,0,0,0,0,0,1,0,73,2
105733,1,0,1,0,1,0,1,0,57,1
105737,0,0,1,0,1,0,0,1,61,2
105740,0,1,0,1,1,0,0,1,64,2
105742,0,1,0,1,0,0,1,0,84,1
105745,0,0,0,0,0,0,0,0,68,1
105750,0,0,0,0,0,0,0,0,78,1
105751,0,0,1,0,0,1,0,1,61,2
105755,0,1,0,0,1,0,0,0,57,2
105758,0,1,1,0,1,0,0,0,62,2
105761,0,1,1,0,1,0,1,0,64,2
105763,0,1,0,1,1,0,0,1,70,1
105765,0,0,0,1,1,0,1,0,74,2
105767,0,1,0,1,0,1,0,1,65,1
105768,0,1,0,1,0,1,0,1,72,2
105770,0,1,0,1,1,0,0,1,62,1
105776,0,1,1,0,1,0,0,0,75,1
105783,0,0,0,0,0,0,0,0,70,2
105785,0,1,1,0,1,0,0,1,63,1
105788,0,1,0,1,1,0,0,1,64,2
105795,1,0,0,0,0,0,1,0,72,2
105798,0,0,0,0,1,0,0,0,52,2
105801,1,0,0,1,0,1,1,0,59,2
105802,0,0,0,0,1,0,0,0,79,2
105810,0,0,0,0,1,0,0,0,64,1
105812,0,1,0,1,0,1,1,0,60,1
105814,0,1,0,1,0,1,0,1,57,2
